Product,Category,Price,Stock,Location,Weather_Tag,Offer
Hot Cocoa,Beverage,4.5,In Stock,Counter,Cold,10% Off (Code: COCOA10)
Premium Umbrella,Apparel,25.0,Out of Stock,Aisle 1,Rain,None
Winter Down Jacket,Apparel,150.0,Low Stock (1 left),Aisle 3,Cold,Clearance
Iced Lemonade,Beverage,3.0,In Stock,Counter,Hot,None
Rain Boots,Footwear,45.0,In Stock,Aisle 2,Rain,15% Off
Classic Charger,Apparel,8.62,In Stock,Frozen Section,Neutral,None
Spicy Headphones,Electronics,36.92,Out of Stock,Counter,Neutral,Member Exclusive
Travel Charger,Electronics,34.46,Out of Stock,Aisle 3,Neutral,Clearance
Spicy Coffee,Electronics,153.91,Low Stock (2 left),Aisle 2,Neutral,10% Off
Vanilla Coffee,Home,99.33,In Stock,Aisle 3,Neutral,Clearance
Vanilla Water Bottle,Home,105.31,In Stock,Aisle 3,Neutral,10% Off
Vanilla Towel,Footwear,73.1,In Stock,Aisle 4,Neutral,None
Budget Scarf,Beverage,40.04,Out of Stock,Aisle 3,Neutral,Clearance
Premium Scarf,Footwear,74.48,In Stock,Aisle 3,Neutral,Clearance
Smart Water Bottle,Snacks,149.42,Out of Stock,Counter,Neutral,Member Exclusive
Travel Tea,Electronics,87.93,In Stock,Checkout Zone,Neutral,Member Exclusive
Travel Headphones,Footwear,194.94,In Stock,Aisle 2,Neutral,Member Exclusive
Spicy Charger,Home,21.58,Low Stock (2 left),Frozen Section,Neutral,20% Off
Organic Chips,Apparel,129.46,Low Stock (2 left),Checkout Zone,Neutral,Member Exclusive
Smart Towel,Home,85.59,In Stock,Aisle 3,Neutral,Buy 1 Get 1
Organic Chips,Footwear,32.52,Low Stock (2 left),Aisle 3,Neutral,Buy 1 Get 1
Spicy Chips,Apparel,56.16,In Stock,Aisle 1,Neutral,None
Vanilla Charger,Electronics,167.84,In Stock,Counter,Neutral,20% Off
Classic Towel,Footwear,31.0,Low Stock (2 left),Aisle 4,Neutral,Clearance
Spicy Scarf,Beverage,32.02,Out of Stock,Aisle 2,Neutral,Member Exclusive
Spicy Scarf,Electronics,105.08,Low Stock (2 left),Frozen Section,Neutral,Member Exclusive
Spicy Tea,Apparel,77.59,In Stock,Checkout Zone,Neutral,Clearance
Spicy Scarf,Home,13.53,In Stock,Aisle 3,Neutral,None
Premium Chips,Electronics,22.21,Out of Stock,Aisle 2,Neutral,10% Off
Organic Tea,Snacks,24.03,Out of Stock,Aisle 2,Neutral,20% Off
Budget Tea,Beverage,71.06,In Stock,Checkout Zone,Neutral,Member Exclusive
